iter	Passed	Remaining
856	1537	256
857	1539	254
858	1541	252
859	1542	251
860	1543	249
861	1545	247
862	1546	245
863	1548	243
864	1549	241
865	1550	239
866	1552	238
867	1554	236
868	1556	234
869	1558	232
870	1560	231
871	1561	229
872	1562	227
873	1564	225
874	1565	223
875	1567	221
876	1568	220
877	1570	218
878	1572	216
879	1573	214
880	1574	212
881	1576	210
882	1577	209
883	1578	207
884	1579	205
885	1581	203
886	1582	201
887	1584	199
888	1586	198
889	1587	196
890	1589	194
891	1590	192
892	1592	190
893	1593	188
894	1594	187
895	1596	185
896	1598	183
897	1600	181
898	1602	179
899	1603	178
900	1604	176
901	1606	174
902	1607	172
903	1608	170
904	1610	169
905	1611	167
906	1612	165
907	1614	163
908	1616	161
909	1618	160
910	1619	158
911	1621	156
912	1622	154
913	1623	152
914	1625	151
915	1626	149
916	1628	147
917	1630	145
918	1632	143
919	1633	142
920	1634	140
921	1636	138
922	1637	136
923	1638	134
924	1640	132
925	1641	131
926	1643	129
927	1644	127
928	1646	125
929	1648	124
930	1649	122
931	1651	120
932	1652	118
933	1653	116
934	1655	115
935	1656	113
936	1657	111
937	1659	109
938	1661	107
939	1662	106
940	1664	104
941	1665	102
942	1667	100
943	1668	98
944	1669	97
945	1670	95
946	1672	93
947	1674	91
948	1676	90
949	1677	88
950	1679	86
951	1680	84
952	1681	82
953	1683	81
954	1684	79
955	1686	77
956	1688	75
957	1689	74
958	1691	72
959	1692	70
960	1694	68
961	1695	66
962	1697	65
963	1698	63
964	1699	61
965	1701	59
966	1702	58
967	1704	56
968	1706	54
969	1707	52
970	1708	51
971	1710	49
972	1711	47
973	1713	45
974	1714	43
975	1715	42
976	1717	40
977	1719	38
978	1720	36
979	1722	35
980	1724	33
981	1725	31
982	1727	29
983	1728	28
984	1729	26
985	1731	24
986	1733	22
987	1735	21
988	1736	19
989	1737	17
990	1739	15
991	1740	14
992	1741	12
993	1743	10
994	1744	8
995	1745	7
996	1747	5
997	1750	3
998	1751	1
999	1752	0
